date,title,budget ,domestic_gross,world_gross
1999-01-15,Varsity Blues,16000000,52894169,54294169
1999-01-15,At First Sight,40000000,22365133,22365133
1999-01-15,Virus,75000000,14010690,30626690
1999-01-15,In Dreams,30000000,12017369,12017369
1999-01-29,Shes All That,10000000,63465522,63465522
1999-02-05,Payback,50000000,81526121,161626121
1999-02-12,Message in a Bottle,30000000,52880016,52880016
1999-02-12,My Favorite Martian,60000000,36850101,36850101
1999-02-12,Blast from the Past,35000000,26613620,26613620
1999-02-19,Office Space,10000000,10827813,12179708
1999-02-26,8MM,40000000,36443442,96398826
1999-03-05,Analyze This,30000000,106885658,176885658
1999-03-05,Cruel Intentions,11000000,38665260,76238901
1999-03-12,Baby Geniuses,13000000,27151490,27151490
1999-03-12,The Rage: Carrie 2,21000000,17760244,17760244
1999-03-12,The Corruptor,10000000,15164492,15164492
1999-03-12,The Deep End of the Ocean,40000000,13508635,13508635
1999-03-12,Wing Commander,30000000,11578022,11578022
1999-03-26,EDtv,60000000,22508689,35319689
1999-03-26,Dougs 1st Movie,5000000,19421271,19421271
1999-03-31,The Matrix,65000000,171479930,463508247
1999-03-31,10 Things I Hate About You,13000000,38177966,60413950
1999-04-02,The Out-of-Towners,40000000,28544120,28544120
1999-04-09,Go!,6500000,16875273,28383441
1999-04-16,Life,75000000,64062587,73521587
1999-04-23,Election,8500000,14943582,17202854
1999-04-30,Entrapment,66000000,87707396,211700000
1999-05-07,The Mummy,80000000,155385488,416385488
1999-05-14,Tea with Mussolini,14000000,14395874,14395874
1999-05-19,Star Wars Ep. I: The Phantom Menace,115000000,474544677,1027044677
1999-05-28,Notting Hill,42000000,116089678,363728085
1999-05-28,The Thirteenth Floor,16000000,11810854,11810854
1999-06-04,Instinct,55000000,34105207,34105207
1999-06-10,Austin Powers: The Spy Who Shagged Me,35000000,206040085,312383487
1999-06-11,Le Violon rouge,10000000,10019109,10019109
1999-06-16,Tarzan,145000000,171091819,448191819
1999-06-18,The Generals Daughter,60000000,102705852,149705852
1999-06-18,An Ideal Husband,10600000,18542974,31341183
1999-06-25,Big Daddy,30000000,163479795,228641283
1999-06-30,Wild Wild West,175000000,113805681,221229335
1999-06-30,"South Park: Bigger, Longer & Uncut",21000000,52037603,52037603
1999-07-02,Summer of Sam,22000000,19288130,19288130
1999-07-09,American Pie,12000000,101800948,234723148
1999-07-09,Arlington Road,21500000,24419219,24419219
1999-07-14,The Blair Witch Project,600000,140539099,248300000
1999-07-14,Muppets From Space,24000000,16304786,16304786
1999-07-16,Eyes Wide Shut,65000000,55691208,104267443
1999-07-16,Lake Placid,27000000,31770413,31770413
1999-07-16,The Wood,6000000,25059640,25059640
1999-07-23,Inspector Gadget,75000000,97387965,97387965
1999-07-23,The Haunting,80000000,91188905,180188905
1999-07-23,Drop Dead Gorgeous,10000000,10571408,10571408
1999-07-28,Deep Blue Sea,60000000,73648228,165048228
1999-07-30,Runaway Bride,70000000,152257509,310138178
1999-08-04,The Iron Giant,50000000,23159305,31333917
1999-08-06,The Sixth Sense,40000000,293506292,672806292
1999-08-06,The Thomas Crown Affair,48000000,69304264,124304264
1999-08-06,Mystery Men,68000000,29762011,33462011
1999-08-13,Bowfinger,55000000,66458769,98699769
1999-08-13,Brokedown Palace,25000000,10115014,11115766
1999-08-20,Mickey Blue Eyes,40000000,33864342,53864342
1999-08-20,Universal Soldier II: The Return,40000000,10447421,10717421
1999-08-25,In Too Deep,7000000,14026509,15471229
1999-08-27,The 13th Warrior,123000000,32698899,61698899
1999-08-27,The Muse,15000000,11614954,11614954
1999-08-27,The Astronauts Wife,34000000,10672566,10672566
1999-09-01,Chill Factor,34000000,11263966,11263966
1999-09-10,Stigmata,32000000,50041732,89441732
1999-09-10,Stir of Echoes,12000000,21133087,21133087
1999-09-15,American Beauty,15000000,130058047,356258047
1999-09-17,Blue Streak,36000000,68208190,117448157
1999-09-17,For Love of the Game,50000000,35188640,46112640
1999-09-24,Double Jeopardy,40000000,116735231,177835231
1999-10-01,Three Kings,48000000,60652036,107752036
1999-10-01,Drive Me Crazy,8000000,17843379,22591451
1999-10-01,The Adventures of Elmo in Grouchland,17000000,11634458,11634458
1999-10-08,Random Hearts,63700000,31054924,63200000
1999-10-08,Superstar,14000000,30628981,30628981
1999-10-08,Boys Dont Cry,2000000,11540607,20741000
1999-10-15,Fight Club,65000000,37030102,100841550
1999-10-15,The Story of Us,50000000,27100030,27100030
1999-10-15,The Omega Code,7200000,12610552,12678312
1999-10-22,The Best Man,9000000,34102780,34572780
1999-10-22,Bringing Out The Dead,32000000,16640210,16640210
1999-10-22,Three to Tango,20000000,10570375,10570375
1999-10-22,Bats,6500000,10155691,10155691
1999-10-29,House on Haunted Hill,19000000,40846082,65090541
1999-10-29,Being John Malkovich,13000000,22858926,32382381
1999-11-05,The Bone Collector,48000000,66488090,151463090
1999-11-05,The Insider,68000000,28965197,60265197
1999-11-05,The Bachelor,21000000,21731001,36882378
1999-11-10,Pokemon: The First Movie,30000000,85744662,163644662
1999-11-12,Dogma,10000000,30651422,43948865
1999-11-12,Anywhere But Here,23000000,18653615,18653615
1999-11-12,The Messenger: The Story of Joan of Arc,50000000,14271297,14271297
1999-11-19,Toy Story 2,90000000,245852179,511358276
1999-11-19,The World is Not Enough,135000000,126930660,361730660
1999-11-19,Sleepy Hollow,70000000,101068340,207068340
1999-11-24,End of Days,100000000,66889043,212026975
1999-12-03,The End of the Affair,23000000,10660147,10660147
1999-12-10,The Green Mile,60000000,136801374,290701374
1999-12-10,Deuce Bigalow: Male Gigolo,18000000,65535067,92935067
1999-12-17,Stuart Little,105000000,140015224,298815224
1999-12-17,Bicentennial Man,90000000,58220776,87420776
1999-12-17,Anna and the King,75000000,39251128,39251128
