Title,Budget,Domestic_Gross,Year,Crit_Rating,Aud_Rating,Runtime_Min,Genre,MPAA_Rating
VARSITY BLUES,16000000,52894169,1999,41,76.0,104.0,Drama,R
AT FIRST SIGHT,40000000,22365133,1999,32,46.0,128.0,"Drama, Romance",PG-13
VIRUS,75000000,14010690,1999,10,21.0,100.0,"Action & Adventure, Horror, Science Fiction & Fantasy",R
IN DREAMS,30000000,12017369,1999,24,40.0,120.0,"Horror, Mystery & Suspense",R
SHES ALL THAT,10000000,63465522,1999,40,55.0,95.0,"Comedy, Drama, Romance",PG-13
PAYBACK,50000000,81526121,1999,54,69.0,100.0,"Action & Adventure, Drama, Mystery & Suspense",R
PAYBACK,50000000,81526121,1999,73,54.0,85.0,"Documentary, Special Interest",PG
MESSAGE IN A BOTTLE,30000000,52880016,1999,32,66.0,126.0,"Drama, Romance",PG-13
MY FAVORITE MARTIAN,60000000,36850101,1999,12,30.0,93.0,"Comedy, Kids & Family, Science Fiction & Fantasy",PG
BLAST FROM THE PAST,35000000,26613620,1999,57,56.0,112.0,"Comedy, Romance",PG-13
OFFICE SPACE,10000000,10827813,1999,80,93.0,90.0,"Comedy, Special Interest, Romance",R
8MM,40000000,36443442,1999,22,52.0,124.0,"Action & Adventure, Mystery & Suspense",R
ANALYZE THIS,30000000,106885658,1999,70,62.0,110.0,Comedy,R
CRUEL INTENTIONS,11000000,38665260,1999,54,81.0,94.0,Drama,R
BABY GENIUSES,13000000,27151490,1999,2,24.0,94.0,"Comedy, Drama, Kids & Family",PG
THE RAGE: CARRIE 2,21000000,17760244,1999,20,33.0,101.0,"Horror, Mystery & Suspense",R
THE CORRUPTOR,10000000,15164492,1999,48,43.0,110.0,"Action & Adventure, Mystery & Suspense",R
THE DEEP END OF THE OCEAN,40000000,13508635,1999,43,59.0,109.0,Drama,PG-13
WING COMMANDER,30000000,11578022,1999,10,25.0,100.0,"Action & Adventure, Science Fiction & Fantasy",PG-13
EDTV,60000000,22508689,1999,64,30.0,124.0,Comedy,PG-13
DOUGS 1ST MOVIE,5000000,19421271,1999,26,28.0,77.0,"Action & Adventure, Animation, Kids & Family, Special Interest",G
THE MATRIX,65000000,171479930,1999,88,85.0,136.0,"Action & Adventure, Science Fiction & Fantasy",R
10 THINGS I HATE ABOUT YOU,13000000,38177966,1999,68,69.0,97.0,Comedy,PG-13
THE OUT-OF-TOWNERS,40000000,28544120,1999,60,68.0,98.0,"Classics, Comedy",PG-13
THE OUT-OF-TOWNERS,40000000,28544120,1999,27,32.0,92.0,Comedy,PG-13
LIFE,75000000,64062587,1999,50,77.0,108.0,"Comedy, Drama",R
LIFE,75000000,64062587,1999,65,44.0,112.0,Drama,R
LIFE,75000000,64062587,1999,67,54.0,103.0,"Action & Adventure, Drama, Science Fiction & Fantasy",R
LIFE,58000000,30234022,2017,50,77.0,108.0,"Comedy, Drama",R
LIFE,58000000,30234022,2017,65,44.0,112.0,Drama,R
LIFE,58000000,30234022,2017,67,54.0,103.0,"Action & Adventure, Drama, Science Fiction & Fantasy",R
ELECTION,8500000,14943582,1999,92,79.0,102.0,Comedy,R
ENTRAPMENT,66000000,87707396,1999,38,50.0,113.0,"Action & Adventure, Drama, Mystery & Suspense",PG-13
THE MUMMY,80000000,155385488,1999,93,72.0,72.0,"Classics, Horror, Romance",NR
THE MUMMY,80000000,155385488,1999,89,64.0,86.0,"Art House & International, Classics, Horror",G
THE MUMMY,80000000,155385488,1999,59,75.0,125.0,"Action & Adventure, Horror, Mystery & Suspense",PG-13
THE MUMMY,80000000,155385488,1999,16,35.0,120.0,"Action & Adventure, Drama, Horror",PG-13
THE MUMMY,195000000,80101125,2017,93,72.0,72.0,"Classics, Horror, Romance",NR
THE MUMMY,195000000,80101125,2017,89,64.0,86.0,"Art House & International, Classics, Horror",G
THE MUMMY,195000000,80101125,2017,59,75.0,125.0,"Action & Adventure, Horror, Mystery & Suspense",PG-13
THE MUMMY,195000000,80101125,2017,16,35.0,120.0,"Action & Adventure, Drama, Horror",PG-13
STAR WARS EP. I: THE PHANTOM MENACE,115000000,474544677,1999,53,59.0,131.0,"Cult Movies, Kids & Family, Science Fiction & Fantasy",PG
NOTTING HILL,42000000,116089678,1999,83,79.0,124.0,"Comedy, Romance",PG-13
THE THIRTEENTH FLOOR,16000000,11810854,1999,29,63.0,120.0,Science Fiction & Fantasy,R
AUSTIN POWERS: THE SPY WHO SHAGGED ME,35000000,206040085,1999,52,71.0,105.0,"Comedy, Romance",PG-13
LE VIOLON ROUGE,10000000,10019109,1999,74,91.0,130.0,"Art House & International, Drama, Mystery & Suspense, Romance",R
TARZAN,145000000,171091819,1999,89,75.0,88.0,"Action & Adventure, Animation, Drama",G
TARZAN,145000000,171091819,1999,20,33.0,94.0,"Animation, Art House & International, Kids & Family",PG
THE GENERALS DAUGHTER,60000000,102705852,1999,22,46.0,116.0,"Drama, Mystery & Suspense",R
AN IDEAL HUSBAND,10600000,18542974,1999,85,70.0,96.0,Comedy,PG-13
BIG DADDY,30000000,163479795,1999,40,74.0,89.0,"Comedy, Kids & Family",PG-13
WILD WILD WEST,175000000,113805681,1999,17,28.0,107.0,"Action & Adventure, Comedy, Western",PG-13
"SOUTH PARK: BIGGER, LONGER & UNCUT",21000000,52037603,1999,81,88.0,80.0,"Animation, Comedy, Musical & Performing Arts, Special Interest",R
SUMMER OF SAM,22000000,19288130,1999,51,60.0,142.0,"Drama, Mystery & Suspense",R
AMERICAN PIE,12000000,101800948,1999,61,61.0,96.0,Comedy,R
ARLINGTON ROAD,21500000,24419219,1999,63,74.0,118.0,"Drama, Mystery & Suspense",R
THE BLAIR WITCH PROJECT,600000,140539099,1999,87,56.0,84.0,Horror,R
MUPPETS FROM SPACE,24000000,16304786,1999,63,58.0,88.0,"Comedy, Kids & Family, Science Fiction & Fantasy",G
EYES WIDE SHUT,65000000,55691208,1999,75,73.0,159.0,"Drama, Romance",R
LAKE PLACID,27000000,31770413,1999,46,36.0,92.0,"Action & Adventure, Comedy, Horror, Mystery & Suspense",R
THE WOOD,6000000,25059640,1999,61,92.0,106.0,"Comedy, Drama",R
INSPECTOR GADGET,75000000,97387965,1999,21,18.0,79.0,"Action & Adventure, Comedy, Kids & Family",PG
THE HAUNTING,80000000,91188905,1999,87,82.0,113.0,"Classics, Horror",G
THE HAUNTING,80000000,91188905,1999,16,28.0,113.0,"Horror, Mystery & Suspense",PG-13
DROP DEAD GORGEOUS,10000000,10571408,1999,46,75.0,97.0,Comedy,PG-13
